cohort,cust_id,org_id
2,11027,10809
2,11024,10806
2,11023,10805
2,11018,10800
2,11013,10795
2,10998,10780
2,10990,10772
2,10985,10767
2,10972,10754
2,10970,10752
2,10949,10731
2,10947,10729
2,10932,10714
2,10924,10706
2,10919,10701
2,10912,10694
2,10880,10664
2,10877,10661
2,10865,10650
2,10863,10648
2,10861,10646
2,10847,10632
2,10841,10626
2,10840,10625
2,10825,10610
2,10823,10609
2,10822,10608
2,10817,10603
2,10813,10599
2,10811,10597
2,10809,10595
2,10808,10594
2,10807,10593
2,10797,10583
2,10789,10575
2,10778,10564
2,10774,10560
2,10765,10551
2,10746,10532
2,10744,10530
2,10729,10515
2,10712,10498
2,10701,10487
2,10699,10485
2,10689,10475
2,10679,10465
2,10675,10461
2,10668,10454
2,10662,10448
2,10661,10447
2,10615,10402
2,10590,10377
2,10586,10373
2,10585,10372
2,10583,10370
2,10581,10368
2,10567,10355
2,10559,10348
2,10556,10345
2,10549,10340
2,10540,10334
2,10531,10325
2,10525,10319
2,10516,10310
2,10509,10303
2,10496,10290
2,10478,10275
2,10472,10269
2,10465,10262
2,10464,10261
2,10460,10257
2,10442,10239
2,10410,10207
2,10407,10204
2,10389,10186
2,10386,10183
2,10374,10171
2,10369,10166
2,10364,10161
2,10356,10153
3,15175,14882
3,15163,14872
3,15162,14871
3,15160,14869
3,15145,14854
3,15136,14845
3,15127,14836
3,15106,14815
3,15094,14803
3,15090,14799
3,15073,14782
3,15049,14758
3,15048,14757
3,15040,14749
3,15039,14748
3,15028,14737
3,15022,14731
3,15017,14726
3,15014,14723
3,14999,14708
3,14997,14706
3,14993,14702
3,14992,14701
3,14974,14683
3,14970,14679
3,14945,14656
3,14921,14635
3,14916,14630
3,14910,14624
3,14865,14579
3,14835,14555
3,14826,14546
3,14814,14534
3,14804,14525
3,14800,14521
3,14790,14511
3,14766,14489
3,14764,14487
3,14760,14483
3,14751,14474
3,14749,14472
3,14719,14443
3,14713,14437
3,14686,14410
3,14666,14390
3,14647,14371
3,14639,14363
3,14637,14361
3,14632,14356
3,14630,14354
3,14620,14344
3,14611,14335
3,14608,14332
3,14599,14323
3,14596,14320
3,14595,14319
3,14582,14306
3,14571,14295
3,14558,14282
3,14538,14262
3,14536,14260
3,14530,14254
3,14527,14251
3,14524,14248
3,14517,14241
3,14515,14239
3,14512,14236
3,14482,14208
3,14475,14201
3,14468,14194
3,14456,14182
3,14450,14176
3,14449,14175
3,14440,14166
3,14423,14149
3,14417,14143
3,14415,14141
3,14414,14140
3,14398,14124
3,14386,14112
3,14374,14100
3,14371,14097
3,14367,14093
3,14361,14087
3,14356,14082
3,14340,14066
3,14336,14062
3,14321,14047
3,14318,14044
3,14316,14042
3,14310,14036
3,14308,14034
3,14297,14023
3,14294,14020
3,14290,14016
3,14267,13993
3,14254,13980
3,14245,13971
3,14233,13959
3,14232,13958
3,14228,13954
3,14209,13935
3,14194,13920
3,14170,13875
3,14163,13890
3,14158,13885
3,14113,13841
3,14088,13817
3,14086,13815
3,14085,13814
3,14080,13809
3,14079,13808
3,14069,13800
3,14066,13797
3,14050,13781
3,14049,13780
3,14027,13759
3,14019,13751
3,14004,13736
3,13999,13731
3,13990,13722
3,13985,13717
3,13982,13714
3,13974,13706
3,13962,13694
3,13946,13678
3,13922,13654
3,13910,13642
3,13870,13602
3,13868,13600
3,13858,13590
3,13832,13564
3,13826,13558
3,13817,13549
3,13768,13499
3,13766,13497
3,13762,13493
3,13760,13491
3,13757,13488
3,13748,13479
3,13745,13476
3,13733,13464
3,13731,13462
3,13725,13457
3,13724,13456
3,13722,13454
3,13719,13451
3,13717,13449
3,13716,13448
3,13701,13433
3,13693,13426
3,13684,13419
3,13668,13403
3,13667,13402
3,13663,13398
3,13659,13394
3,13652,13387
3,13645,13380
3,13629,13364
3,13621,13356
3,13618,13353
3,13617,13352
3,13616,13351
3,13612,13347
3,13606,13341
3,13599,13335
3,13597,13333
3,13590,13326
3,13558,13294
3,13556,13292
3,13543,13279
3,13541,13277
3,13538,13274
3,13511,13248
3,13504,13241
3,13496,13233
3,13494,13232
3,13481,13219
3,13480,13218
3,13466,13204
3,13464,13202
3,13455,13193
3,13447,13185
3,13439,13177
3,13434,13172
3,13425,13163
3,13403,13143
3,13396,13136
3,13393,13133
3,13392,13132
3,13383,13123
3,13350,13090
3,13340,13080
3,13339,13079
3,13337,13077
3,13332,13072
3,13323,13063
3,13322,13062
3,13321,13061
3,13317,13057
3,13310,13050
3,13308,13048
3,13303,13043
3,13295,13035
3,13292,13032
3,13291,13031
3,13285,13025
3,13249,12989
3,13245,12985
3,13243,12983
3,13238,12978
3,13237,12977
3,13232,12972
3,13229,12969
3,13211,12951
3,13206,12946
3,13198,12938
3,13174,12913
3,13153,12893
3,13142,12882
3,13132,12872
3,13130,12870
3,13115,12855
3,13100,12840
3,13097,12837
3,13089,12830
3,13081,12824
3,13065,12810
3,13052,12797
3,13038,12783
3,13035,12780
3,13033,12778
3,13009,12755
3,13008,12754
3,13006,12752
3,12997,12743
3,12985,12734
3,12968,12717
3,12965,12714
3,12954,12703
3,12949,12698
3,12925,12674
3,12916,12665
3,12905,12654
3,12904,12653
3,12883,12632
3,12857,12606
3,12852,12601
3,12847,12596
3,12838,12590
3,12788,12540
3,12782,12534
3,12776,12528
3,12767,12519
3,12766,12518
3,12758,12510
3,12746,12498
3,12737,12489
3,12731,12483
3,12723,12475
3,12716,12468
3,12714,12466
3,12706,12458
3,12697,12449
3,12695,12447
3,12662,12415
3,12657,12410
3,12646,12399
3,12633,12387
3,12626,12380
3,12610,12364
3,12602,12356
3,12597,12351
3,12574,12328
3,12572,12325
3,12571,12324
3,12569,12322
3,12567,12320
3,12550,12303
3,12531,12288
3,12524,12281
3,12508,12266
3,12507,12265
3,12489,12247
3,12474,12232
3,12440,12198
3,12435,12193
3,12421,12179
3,12418,12176
3,12410,12168
3,12405,12163
3,12396,12154
3,12376,12134
3,12374,12132
3,12373,12131
3,12361,12120
3,12352,12111
3,12306,12067
3,12305,12066
3,12290,12051
3,12268,12030
3,12258,12020
3,12249,12011
3,12208,11970
3,12198,11960
3,12191,11954
3,12180,11943
3,12179,11942
3,12178,11941
3,12168,11931
3,12158,11921
3,12154,11917
3,12149,11912
3,12114,11878
3,12104,11868
3,12102,11866
3,12099,11864
3,12085,11850
3,12083,11848
3,12076,11841
3,12072,11837
3,12049,11815
3,12034,11800
3,12004,11770
3,12003,11769
3,11993,11759
3,11987,11753
3,11972,11738
3,11965,11731
3,11957,11723
3,11928,11694
3,11914,11680
3,11912,11678
3,11903,11669
3,11899,11665
3,11893,11659
3,11888,11654
3,11876,11642
3,11868,11635
3,11867,11634
3,11860,11627
3,11856,10662
3,11853,11622
3,11849,11618
3,11845,11614
3,11822,11591
3,11817,11586
3,11807,11576
3,11800,11569
3,11789,11558
3,11783,11552
3,11765,11534
3,11758,11527
3,11753,11522
3,11744,11513
3,11738,11507
3,11726,11495
3,11718,11487
3,11717,11486
3,11712,11481
3,11692,11461
3,11688,11457
3,11683,11452
3,11677,11446
3,11669,11438
3,11668,11437
3,11664,11433
3,11658,11427
3,11654,11423
3,11632,11401
3,11623,11392
3,11614,11383
3,11613,11382
3,11582,11351
3,11579,11348
3,11575,11344
3,11573,11342
3,11544,11313
3,11539,11308
3,11523,11292
3,11478,11251
3,11477,11250
3,11461,11234
3,11454,11227
3,11453,11226
3,11442,11215
3,11438,11211
3,11436,11209
3,11399,11176
3,11385,11164
3,11383,11162
3,11373,11152
3,11369,11148
3,11364,11143
3,11361,11140
3,11354,11133
3,11350,11129
3,11340,11119
3,11336,11115
3,11327,11106
3,11323,11102
3,11313,11092
3,11310,11089
3,11299,11078
3,11289,11069
3,11281,11061
3,11278,11058
3,11230,11011
3,11226,11007
3,11219,11000
3,11217,10998
3,11200,10981
3,11181,10962
3,11179,10960
3,11176,10957
3,11175,10956
3,11149,10930
3,11146,10927
3,11124,10905
3,11123,10904
3,11122,10903
3,11106,10887
3,11102,10883
3,11098,10879
3,11094,10875
3,11086,10867
3,11085,10866
3,11081,10862
3,11066,10847
3,11064,10845
3,11053,10835
3,11050,10832
3,11045,10827
3,11036,10818
3,11029,10811
3,11020,10802
3,10991,10773
3,10976,10758
3,10974,10756
3,10969,10751
3,10957,10739
3,10943,10725
3,10918,10700
3,10915,10697
3,10913,10695
3,10903,10686
3,10879,10663
3,10872,10656
3,10871,10655
3,10867,10652
3,10834,10619
3,10833,10618
3,10819,10605
3,10805,10591
3,10804,10590
3,10800,10586
3,10798,10584
3,10795,10581
3,10794,10580
3,10785,10571
3,10777,10563
3,10771,10557
3,10770,10556
3,10767,10553
3,10766,10552
3,10764,10550
3,10757,10543
3,10751,10537
3,10745,10531
3,10736,10522
3,10722,10508
3,10719,10505
3,10706,10492
3,10702,10488
3,10697,10483
3,10695,10481
3,10681,10467
3,10678,10464
3,10665,10451
3,10658,10444
3,10644,10430
3,10641,10427
3,10637,10423
3,10626,10413
3,10625,10412
3,10580,10367
3,10571,10358
3,10570,10357
3,10551,10342
3,10548,10339
3,10534,10328
3,10529,10323
3,10522,10316
3,10501,10295
3,10495,10289
3,10468,10265
3,10454,10251
3,10446,10243
3,10438,10235
3,10430,10227
4,15179,14886
4,15177,14884
4,15176,14883
4,15173,14880
4,15151,14860
4,15150,14859
4,15140,14849
4,15103,14812
4,15093,14802
4,15086,14795
4,15082,14791
4,15081,14790
4,15020,14729
4,14991,14700
4,14989,14698
4,14980,14689
4,14975,14684
4,14972,14681
4,14964,14673
4,14958,14667
4,14951,14662
4,14947,14658
4,14927,14640
4,14908,14622
4,14900,14614
4,14896,14610
4,14880,14594
4,14875,14589
4,14846,14566
4,14827,14547
4,14825,14545
4,14807,14527
4,14806,14526
4,14789,14510
4,14787,14508
4,14780,14501
4,14748,14471
4,14735,14458
4,14724,14448
4,14712,14436
4,14705,14429
4,14670,14394
4,14661,14385
4,14658,14382
4,14645,14369
4,14643,14367
4,14623,14347
4,14597,14321
4,14593,14317
4,14570,14294
4,14554,14278
4,14553,14277
4,14545,14269
4,14514,14238
4,14502,14226
4,14493,14217
4,14491,14215
4,14480,14206
4,14461,14187
4,14455,14181
4,14447,14173
4,14437,14163
4,14429,14155
4,14416,14142
4,14405,14131
4,14399,14125
4,14387,14113
4,14380,14106
4,14377,14103
4,14373,14099
4,14370,14096
4,14350,14076
4,14326,14052
4,14298,14024
4,14292,14018
4,14288,14014
4,14287,14013
4,14274,14000
4,14268,13994
4,14262,13988
4,14253,13979
4,14213,13939
4,14204,13930
4,14201,13927
4,14197,13923
4,14195,13921
4,14188,13914
4,14173,13899
4,14161,13888
4,14157,13884
4,14135,13862
4,14132,13859
4,14130,13857
4,14127,13854
4,14095,13824
4,14092,13821
4,14091,13820
4,14084,13813
4,14083,13812
4,14078,13807
4,14062,13793
4,14059,13790
4,14030,13762
4,14021,13753
4,13997,13729
4,13989,13721
4,13988,13720
4,13964,13696
4,13963,13695
4,13948,13680
4,13947,13679
4,13943,13675
4,13939,13671
4,13937,13669
4,13935,13667
4,13933,13665
4,13932,13664
4,13918,13650
4,13917,13649
4,13898,13630
4,13897,13629
4,13895,13627
4,13876,13608
4,13865,13597
4,13852,13584
4,13847,13579
4,13808,13540
4,13807,13539
4,13793,13525
4,13778,13510
4,13776,13508
4,13747,13478
4,13739,13470
4,13709,13441
4,13703,13435
4,13700,13432
4,13689,13424
4,13682,13417
4,13657,13392
4,13650,13385
4,13647,13382
4,13643,13378
4,13640,13375
4,13636,13371
4,13622,13357
4,13613,13348
4,13609,13344
4,13598,13334
4,13594,13330
4,13576,13312
4,13573,13309
4,13569,13305
4,13565,13301
4,13562,13298
4,13555,13291
4,13542,13278
4,13529,13266
4,13522,13259
4,13497,13234
4,13489,13227
4,13488,13226
4,13482,13220
4,13479,13217
4,13473,13211
4,13454,13192
4,13440,13178
4,13437,13175
4,13435,13173
4,13420,13158
4,13408,13148
4,13398,13138
4,13386,13126
4,13382,13122
4,13380,13120
4,13377,13117
4,13374,13114
4,13372,13112
4,13370,13110
4,13341,13081
4,13334,13074
4,13333,13073
4,13330,13070
4,13324,13064
4,13318,13058
4,13299,13039
4,13277,13017
4,13273,13013
4,13272,13012
4,13263,13003
4,13258,12998
4,13253,12993
4,13236,12976
4,13234,12974
4,13228,12968
4,13225,12965
4,13214,12954
4,13207,12947
4,13181,12920
4,13167,12906
4,13147,12887
4,13139,12879
4,13138,12878
4,13128,12868
4,13121,12861
4,13101,12841
4,13092,12832
4,13067,12812
4,13012,12758
4,12996,12742
4,12983,12732
4,12967,12716
4,12966,12715
4,12945,12694
4,12937,12686
4,12935,12684
4,12933,12682
4,12924,12673
4,12919,12668
4,12912,12661
4,12897,12646
4,12886,12635
4,12882,12631
4,12878,12627
4,12866,12615
4,12862,12611
4,12855,12604
4,12828,12580
4,12826,12578
4,12825,12577
4,12821,12573
4,12819,12571
4,12810,12562
4,12809,12561
4,12800,12552
4,12798,12550
4,12778,12530
4,12769,12521
