id,cust_id,type,description,timestamp
52971,1193,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
45825,1194,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
52970,1194,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369180800
45824,1195,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52969,1195,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45823,1196,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52968,1196,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45822,1197,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52967,1197,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45821,1198,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52966,1198,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45820,1199,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52965,1199,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45819,1200,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52964,1200,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45818,1203,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
52963,1203,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369267200
45817,1204,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369353600
52962,1204,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369353600
45816,1205,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369353600
52961,1205,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369353600
45815,1206,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369440000
52960,1206,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369440000
45814,1207,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369440000
52959,1207,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369440000
45813,1208,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369526400
52958,1208,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369526400
45812,1209,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
52957,1209,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
45607,1210,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1376265600
52752,1210,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Pro"",""imported"":true}",1376265600
45811,1211,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
52956,1211,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
45810,1212,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
52955,1212,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
45809,1213,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
52954,1213,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369612800
45808,1214,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369699200
52953,1214,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369699200
45807,1215,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369699200
52952,1215,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369699200
45806,1216,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369699200
52951,1216,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369699200
45805,1217,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369785600
52950,1217,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369785600
45804,1219,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369785600
52949,1219,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369785600
45803,1220,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369785600
52948,1220,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369785600
45802,1221,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
52947,1221,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
45801,1222,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
52946,1222,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
45800,1223,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
52945,1223,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
45799,1224,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
52944,1224,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
45798,1225,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
52943,1225,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369872000
